,l_id,location
127,127,人民医院门诊
128,128,中原
129,129,河南省许昌市襄城县
130,130,河南省许昌市禹州市
131,131,河南省许昌市长垣县
132,132,河南省许昌市长葛市
133,133,河南省三门峡市灵宝市
134,134,北京市北京市昌平区
135,135,山西省朔州市
136,136,山西省太原市
137,137,山西省朔州市朔城区
138,138,平朔集团医院
139,139,镇政府
140,140,北山
141,141,北站北站
142,142,南站
143,143,重庆市重庆市渝中区
144,144,合川区钱塘镇
145,145,大道
146,146,江西省
147,147,海南省
148,148,澄迈县
149,149,浙江省温州市文成县
150,150,河北省沧州市南皮县
151,151,云南省昆明市西山区
152,152,西苑浦路
153,153,山东省淄博市
154,154,老观镇方山
155,155,老观超市
156,156,四川省南充市阆中市
157,157,浙江省宁波市
158,158,方山卫生院
159,159,四川省南充市顺庆区
160,160,西门市场
161,161,西藏路
162,162,滨江路
163,163,中国加油站
164,164,四川省成都市
165,165,四川省成都市龙泉驿区
166,166,武昌站
167,167,重庆市重庆市
168,168,四川省宜宾市
169,169,四川省宜宾市叙州区
170,170,四川省攀枝花市东区
171,171,黑龙江省哈尔滨市道外区
172,172,黑龙江省双鸭山市友谊县
173,173,让胡路区
174,174,龙南医院
175,175,美惠长海医院
176,176,集团实业
177,177,商场超市
178,178,中三
179,179,超市
180,180,龙南医院门诊
181,181,龙南
182,182,药店
183,183,桃园超市超市超市
184,184,黑龙江省齐齐哈尔市建华区
185,185,黑龙江省牡丹江市阳明区
186,186,广西壮族自治区南宁市马山县
187,187,广西壮族自治区北海市
188,188,潮安区超市
189,189,广东省韶关市乐昌市
190,190,广东省珠海市
191,191,广东省珠海市金湾区
192,192,酒店
193,193,广东省肇庆市鼎湖区
194,194,广东省广州市
195,195,安徽省合肥市肥东县
196,196,安徽省合肥市蜀山区
197,197,山东省青岛市市南区
198,198,山东省临沂市莒南县
199,199,社区
200,200,河南省新乡市长垣县
201,201,长垣
202,202,专家组
203,203,河南省郑州市
204,204,获嘉
205,205,河南省新乡市获嘉县
206,206,亢村镇卫生院
207,207,服装店
208,208,河南省焦作市武陟县
209,209,师寨镇
210,210,河南省新乡市卫辉市
211,211,学校
212,212,湖北省黄石市大冶市
213,213,河南省新乡市封丘县
214,214,河南省周口市
215,215,葛店乡
216,216,河南省新乡市辉县市
217,217,河南省新乡市红旗区
218,218,陕西省榆林市
219,219,河南省新乡市延津县
220,220,平遥
221,221,河南省焦作市
222,222,山西省晋中市平遥县
223,223,杜家庄乡
224,224,山西省晋中市
225,225,卫生院
226,226,水口镇
227,227,重庆市重庆市云阳县
228,228,重庆市重庆市忠县
229,229,辽宁省丹东市凤城市
230,230,龙河镇
231,231,长安
232,232,海南省澄迈县
233,233,浙江省杭州市桐庐县
234,234,浙江省宁波市海曙区
235,235,河北省邢台市威县
236,236,广东省
237,237,贵州省贵阳市清镇市
238,238,市中医院分院
239,239,台北
240,240,贵州省贵阳市云岩区
241,241,茶坊
242,242,贵州省遵义市汇川区
243,243,街道清溪村
244,244,百里
245,245,贵州省遵义市
246,246,绿春
247,247,云南省红河哈尼族彝族自治州绿春县
248,248,四川省达州市开江县
249,249,和兴路
250,250,黑龙江省佳木斯市桦南县
251,251,黑龙江省黑河市
252,252,回民社区
253,253,广东省茂名市高州市
254,254,广东省湛江市
255,255,湖北省武汉市武昌区
256,256,广东省河源市
257,257,广东省河源市源城区
258,258,福建省三明市永安市
259,259,西街道
260,260,横琴
261,261,拱北
262,262,广东省珠海市香洲区
263,263,湖南省娄底市新化县
264,264,琅塘镇
265,265,开发区诊所友谊医院
266,266,安徽省合肥市庐阳区
267,267,有限公司
268,268,山东省烟台市芝罘区
269,269,山东省烟台市莱山区
270,270,烟台山医院
271,271,山东省烟台市
272,272,山东省潍坊市昌乐县
273,273,山东省济宁市
274,274,山东省潍坊市高密市
275,275,山东省滨州市邹平市
276,276,江苏省徐州市
277,277,泽州
278,278,寺河
279,279,城区
280,280,山西省晋城市
281,281,陕西省汉中市洋县
282,282,松山医院
283,283,内蒙古自治区赤峰市松山区
284,284,宁夏回族自治区吴忠市
285,285,台湾省
286,286,吉林省长春市
287,287,黑龙江省七台河市
288,288,吉林省长春市朝阳区
289,289,黑龙江省
290,290,江北区
291,291,铜梁区大庙镇
292,292,湖北省荆州市
293,293,沙坪坝酒店
294,294,沙坪坝
295,295,荣昌北站
296,296,湖北省孝感市
297,297,湖南省衡阳市
298,298,江苏省南通市海安市
299,299,浙江省温州市龙湾区
300,300,浙江省温州市乐清市
301,301,浙江省台州市玉环市
302,302,河北省唐山市迁西县
303,303,河北省石家庄市正定县
304,304,县医院
305,305,河北省沧州市献县
306,306,河北省廊坊市
307,307,石岭村医院
308,308,河北省邢台市沙河市
309,309,河北省张家口市
310,310,河北省保定市
311,311,湖北省宜昌市
312,312,四川省凉山彝族自治州西昌市
313,313,四川省成都市锦江区
314,314,饭店
315,315,黑龙江省哈尔滨市香坊区
316,316,东站
317,317,太阳岛
318,318,黑龙江省哈尔滨市方正县
319,319,黑龙江省鸡西市恒山区
320,320,黑龙江省大庆市肇源县
321,321,广西壮族自治区防城港市
322,322,广东省中山市
323,323,开发区宫花村
324,324,广东省江门市台山市
325,325,广东省江门市
326,326,湖南省常德市武陵区
327,327,安徽省蚌埠市怀远县
328,328,文昌市
329,329,东大街
330,330,安徽省蚌埠市禹会区
331,331,山东省青岛市
332,332,松山社区
333,333,山东省济宁市任城区
334,334,山东省德州市武城县
335,335,山东省淄博市淄川区
336,336,山东省日照市东港区
337,337,天津市天津市宝坻区
338,338,天津市天津市河东区
339,339,江西省宜春市
340,340,江西省宜春市丰城市
341,341,杜市镇长宁
342,342,龙城
343,343,福建省
344,344,加油站
345,345,福建省漳州市
346,346,江西省抚州市
347,347,河南省信阳市平桥区
348,348,河南省信阳市
349,349,河南省信阳市商城县
350,350,河南省信阳市潢川县
351,351,河南省信阳市光山县
352,352,河南省南阳市方城县
353,353,河北省
354,354,河南省南阳市淅川县
355,355,河南省濮阳市华龙区
356,356,河南省濮阳市
357,357,油田总医院
358,358,河南省濮阳市南乐县
359,359,市妇幼保健院
360,360,河南省郑州市中原区
361,361,河南省商丘市虞城县
362,362,河南省商丘市梁园区
363,363,河南省商丘市
364,364,河南省驻马店市确山县
365,365,河南省漯河市
366,366,河南省洛阳市新安县
367,367,河南省平顶山市新华区
368,368,花乡
369,369,山西省太原市杏花岭区
370,370,山西省
371,371,陕西省安康市旬阳县
372,372,内蒙古自治区锡林郭勒盟
373,373,宁夏回族自治区吴忠市同心县
374,374,湖南省
375,375,湖北省十堰市
376,376,韦州镇
377,377,吉林省长春市二道区
378,378,吉林省辽源市东辽县
379,379,湖北省荆门市
380,380,广西北海
381,381,海南省三亚市
382,382,保亭县
383,383,园村
384,384,天涯区新城路
385,385,那大小学
386,386,龙桥镇
387,387,浙江省杭州市西湖区
388,388,浙江省宁波市余姚市
389,389,浙江省温州市鹿城区
390,390,浙江省温州市瑞安市
391,391,浙江省嘉兴市秀洲区
392,392,浙江省台州市椒江区
393,393,内蒙古自治区锡林郭勒盟锡林浩特市
394,394,河北省保定市易县
395,395,河北省秦皇岛市卢龙县
396,396,河北省沧州市河间市
397,397,泗渡镇
398,398,云南省大理白族自治州大理市
399,399,贵州省贵阳市
400,400,云南省楚雄彝族自治州楚雄市
401,401,贵州省六盘水市
402,402,克村田坝
403,403,贵州省毕节市
404,404,泗渡镇超市
405,405,辽宁省大连市
406,406,四川省成都市金堂县
407,407,四川省南充市西充县
408,408,黑龙江省鸡西市鸡冠区
409,409,辽河
410,410,餐厅超市便利店
411,411,桦树街
412,412,柬埔寨
413,413,广西壮族自治区玉林市
414,414,湖南省株洲市
415,415,广东省惠州市惠城区
416,416,湖南省娄底市涟源市
417,417,湖南省衡阳市祁东县
418,418,山东省枣庄市滕州市
419,419,山东省潍坊市
420,420,山东省临沂市
421,421,县人民医院南山
422,422,柏林柏林
423,423,山东省临沂市平邑县
424,424,天津市天津市武清区
425,425,睢城镇
426,426,县
427,427,岚山镇医院
428,428,河南省信阳市罗山县
429,429,老山街道
430,430,北京市北京市大兴区
431,431,香港特别行政区香港特别行政区
432,432,吉林省吉林市
433,433,公司
434,434,三江街道卫生院
435,435,街道公司
436,436,重庆市重庆市奉节县
437,437,陵水县酒店
438,438,陵水县英州镇
439,439,海口机场
440,440,公社
441,441,万宁市
442,442,那大镇专营店五金店药店
443,443,浙江省杭州市江干区
444,444,浙江省温州市瓯海区
445,445,浙江省温州市泰顺县
446,446,浙江省绍兴市柯桥区
447,447,临城
448,448,河北省石家庄市
449,449,河北省邢台市临城县
450,450,河北省沧州市任丘市
451,451,河北省唐山市
452,452,贵州省贵阳市南明区
453,453,宾馆酒店
454,454,贵州省贵阳市乌当区
455,455,中心中心
456,456,四川省广安市
457,457,贵州省贵阳市花溪区
458,458,坝乡
459,459,上坝乡
460,460,棕坪乡
461,461,溪村
462,462,辽宁省沈阳市
463,463,县忠信镇
464,464,湾村
465,465,洛龙镇龙桥村
466,466,贵州省遵义市红花岗区
467,467,贵州省铜仁市玉屏侗族自治县
468,468,湖北省黄冈市黄梅县
469,469,贵州省遵义市余庆县
470,470,贵州省铜仁市石阡县
471,471,贵州省铜仁市碧江区
472,472,贵州省黔东南苗族侗族自治州凯里市
473,473,贵州省黔南布依族苗族自治州都匀市
474,474,贵州大学
475,475,四川省成都市武侯区
476,476,四川省成都市金牛区
477,477,四川省达州市渠县
478,478,石河镇
479,479,双拱镇
480,480,开江
481,481,县人民医院
482,482,东莱街
483,483,黑龙江省哈尔滨市尚志市
484,484,帽儿山镇
485,485,亚布力镇药店
486,486,和平路
487,487,北京市北京市朝阳区
488,488,北京站
489,489,黑龙江省大庆市红岗区
490,490,亚布力镇中心卫生院
491,491,福建省厦门市
492,492,江苏省盐城市
493,493,黑龙江省哈尔滨市
494,494,凤岗镇
495,495,江源饭店
496,496,敬老院
497,497,黑龙江省双鸭山市宝清县
498,498,安徽省马鞍山市
499,499,市第一医院
500,500,湖北省鄂州市
501,501,广东省珠海市斗门区
502,502,广东省肇庆市封开县
503,503,湖南省娄底市冷水江市
504,504,安徽省淮南市
505,505,安徽省阜阳市临泉县
506,506,安徽省亳州市利辛县
507,507,天津市天津市南开区
508,508,金坛
509,509,江苏省常州市
510,510,太平洋
511,511,河南省周口市川汇区
512,512,河南省周口市西华县
513,513,河南省周口市郸城县
514,514,河南省周口市太康县
515,515,西华
516,516,河南省周口市沈丘县
517,517,纸店镇卫生院
518,518,项城市
519,519,人民医院专家组
520,520,河南省周口市鹿邑县
521,521,淮阳
522,522,河南省周口市项城市
523,523,卫生室
524,524,河南省周口市商水县
525,525,河南省周口市淮阳县
526,526,卫生院医院
527,527,太康
528,528,人民医院诊所
529,529,湖北省武汉市洪山区
530,530,沈丘
531,531,甘肃省平凉市华亭市
532,532,甘肃省临夏回族自治州临夏市
533,533,甘肃省甘南藏族自治州
534,534,拉卜楞镇
535,535,收费站
536,536,拉卜楞镇广播局
537,537,宁夏回族自治区银川市
538,538,望远镇
539,539,宁夏回族自治区固原市隆德县
540,540,观庄乡
541,541,隆德
542,542,龙城药店
543,543,隆德超市商场药店商城
544,544,韦州镇高台
545,545,预旺镇南关村
546,546,红钢洗浴中心
547,547,道街
548,548,吉林省四平市铁西区
549,549,卫生所
550,550,海南省琼中黎族苗族自治县
551,551,陵水
552,552,海南省陵水黎族自治县
553,553,南汉
554,554,海南省三亚市崖州区
555,555,金江镇南亚超市药店超市
556,556,海南省昌江黎族自治县
557,557,浙江省杭州市滨江区
558,558,浙江省温州市永嘉县
559,559,浙江省金华市东阳市
560,560,浙江省台州市黄岩区
561,561,金厂峪镇
562,562,庄户村
563,563,束城镇
564,564,中亚
565,565,河北省邯郸市
566,566,河北省廊坊市固安县
567,567,党校
568,568,河北省廊坊市霸州市
569,569,泰国
570,570,普吉岛
571,571,贵州省黔南布依族苗族自治州惠水县
572,572,贵州省黔南布依族苗族自治州长顺县
573,573,西门
574,574,贵州省黔南布依族苗族自治州贵定县
575,575,县中医院
576,576,新桥街超市
577,577,贵州省黔南布依族苗族自治州龙里县
578,578,浙江省丽水市遂昌县
579,579,四川省广元市青川县
580,580,四川省德阳市绵竹市
581,581,大酒店
582,582,四川省雅安市雨城区
583,583,嫩江
584,584,黑龙江省绥化市兰西县
585,585,河村
586,586,黑龙江省佳木斯市
587,587,黑龙江省佳木斯市桦川县
588,588,黑龙江省七台河市桃山区
589,589,广西壮族自治区
590,590,广东省广州市天河区
591,591,广东省江门市恩平市
592,592,凤山路
593,593,东街玩具店
594,594,凤山
595,595,中医院
596,596,广东省韶关市新丰县
597,597,湖南省常德市临澧县
598,598,湖南省益阳市南县
599,599,安徽省合肥市巢湖市
600,600,山东省潍坊市坊子区
601,601,山东省潍坊市诸城市
602,602,山东省滨州市无棣县
603,603,山东省淄博市博山区
604,604,天津市天津市河北区
605,605,天津市天津市北辰区
606,606,宁夏回族自治区吴忠市青铜峡市
607,607,陕西省
608,608,坝上
609,609,陕西省榆林市定边县
610,610,道街面馆医大总院
611,611,大沟村卫生室卫生院
612,612,闽宁镇加油站
613,613,餐厅
614,614,江苏省扬州市
615,615,河南省
616,616,祥符区宾馆宾馆
617,617,宾馆
618,618,大沟村
619,619,合川
620,620,人和街道
621,621,普顺镇东风村
622,622,浙江省金华市
623,623,东湖村
624,624,普顺镇
625,625,平桥
626,626,西欧
627,627,重庆市重庆市垫江县
628,628,綦江
629,629,南坪
630,630,三江
631,631,连城
632,632,石角镇白云村
633,633,白云村
634,634,凤梧超市
635,635,三江街道
636,636,三江超市
637,637,沙溪路
638,638,湖北省恩施土家族苗族自治州恩施市
639,639,幼儿园餐馆
640,640,县中医院理发店
641,641,下堡
642,642,重庆市重庆市巫溪县
643,643,下堡镇
644,644,下堡镇中心卫生院
645,645,武昌
646,646,琼海市
647,647,陵水县
648,648,塔岭
649,649,江西省南昌市
650,650,海南省定安县
651,651,海南省海口市琼山区
652,652,大道餐馆
653,653,汉口
654,654,那大镇
655,655,农场
656,656,那大
657,657,解放军总医院
658,658,湖南省长沙市
659,659,浙江省嘉兴市嘉善县
660,660,浙江省金华市义乌市
661,661,河北省张家口市宣化区
662,662,河北省唐山市滦州市
663,663,九百户镇
664,664,河北省秦皇岛市
665,665,河北省石家庄市新乐市
666,666,河北省石家庄市桥西区
667,667,河北省保定市高阳县
668,668,贵州省毕节市织金县
669,669,双加镇
670,670,街道长岛
671,671,街道政府
672,672,四川省内江市隆昌市
673,673,四川省达州市宣汉县
674,674,黑龙江省齐齐哈尔市拜泉县
675,675,黑龙江省鸡西市虎林市
676,676,黑龙江省大庆市肇州县
677,677,太平洋洗浴中心
678,678,惠民
679,679,沾河林业局医院
680,680,黑龙江省黑河市五大连池市
681,681,黑龙江省黑河市北安市
682,682,东北亚商场商城
683,683,亚布力镇
684,684,黑龙江省绥化市
685,685,黑龙江省绥化市北林区
686,686,管理局
687,687,五分场
688,688,辽宁省铁岭市调兵山市
689,689,辽宁省铁岭市昌图县
690,690,八面城镇
691,691,盛京医院中国医科大学附属第一医院
692,692,辽宁省沈阳市苏家屯区
693,693,福建省福州市鼓楼区
694,694,福建省三明市三元区
695,695,小陶镇五一村
696,696,后庄
697,697,福建省三明市沙县
698,698,福建省三明市
699,699,夏茂镇
700,700,凤岗街道龙湖
701,701,四川省达州市
702,702,县总院
703,703,管前镇
704,704,福建省三明市尤溪县
705,705,福建省三明市将乐县
706,706,福建省宁德市古田县
707,707,福建省三明市宁化县
708,708,广西壮族自治区南宁市青秀区
709,709,河南省驻马店市
710,710,广东省茂名市信宜市
711,711,黄岭镇
712,712,广东省茂名市
713,713,广东省茂名市化州市
714,714,城中村
715,715,甘肃省兰州市
716,716,封开
717,717,平凤镇
718,718,广东省佛山市三水区
719,719,广东省佛山市南海区
720,720,实验室
721,721,广东省佛山市
722,722,湖南省益阳市赫山区
723,723,湖南省益阳市安化县
724,724,安徽省亳州市蒙城县
725,725,永安镇
726,726,西村
727,727,安徽省宿州市
728,728,安徽省宿州市砀山县
729,729,安徽省阜阳市颍州区
730,730,浙江省丽水市龙泉市
731,731,安徽省池州市东至县
732,732,怀远超市
733,733,西门药店
734,734,安徽省蚌埠市淮上区
735,735,山东省济南市历下区
736,736,山东省威海市
737,737,山东省临沂市郯城县
738,738,山东省聊城市阳谷县
739,739,山东省菏泽市郓城县
740,740,内蒙
741,741,江苏省宿迁市泗阳县
742,742,江苏省宿迁市沭阳县
743,743,江苏省淮安市
744,744,江苏省宿迁市
745,745,人民医院医院
746,746,山西省太原市尖草坪区
747,747,内蒙古自治区包头市东河区
748,748,湖南省株洲市荷塘区
749,749,新村
750,750,吉林省长春市南关区
751,751,塘坊
752,752,熊家镇幼儿园
753,753,熊家镇中心卫生院
754,754,梁平
755,755,新合村
756,756,商场
757,757,重庆市重庆市南岸区
758,758,良村
759,759,天津市天津市
760,760,浙江省杭州市余杭区
761,761,浙江省宁波市鄞州区
762,762,浙江省宁波市慈溪市
763,763,江苏省无锡市
764,764,浙江省台州市温岭市
765,765,河北省廊坊市文安县
766,766,湖北省孝感市安陆市
767,767,县河口镇
768,768,贵州省遵义市凤冈县
769,769,贵州省贵阳市修文县
770,770,贵州省毕节市黔西县
771,771,湖北省咸宁市赤壁市
772,772,贵定
773,773,云龙镇
774,774,丰村
775,775,云龙镇基地
776,776,城东街道
777,777,四川省泸州市江阳区
778,778,四川省内江市东兴区
779,779,四川省广安市岳池县
780,780,石垭镇丁家
781,781,黑龙江省鹤岗市萝北县
782,782,萝北
783,783,黑龙江省鸡西市
784,784,鸡东
785,785,黑龙江省鸡西市鸡东县
786,786,黑龙江省齐齐哈尔市甘南县
787,787,黑龙江省大庆市龙凤区
788,788,黑龙江省哈尔滨市城区
789,789,亚布力
790,790,东平
791,791,福建省南平市
792,792,旅馆
793,793,福建省福州市
794,794,浙江省衢州市松溪县
795,795,河东
796,796,浙江省衢州市
797,797,福建省南平市松溪县
798,798,广东省湛江市廉江市
799,799,湖南省娄底市双峰县
800,800,合心村卫生室
801,801,湖南省株洲市茶陵县
802,802,安徽省六安市金寨县
803,803,安徽省宿州市泗县
804,804,安徽省阜阳市阜南县
805,805,安徽省阜阳市东区
806,806,中国
807,807,江口
808,808,安徽省芜湖市无为县
809,809,安徽省铜陵市
810,810,安徽省安庆市
811,811,安徽省安庆市望江县
812,812,安徽省淮北市相山区
813,813,安徽省淮北市
814,814,山东省青岛市黄岛区
815,815,山东省枣庄市山亭区
816,816,山东省烟台市牟平区
817,817,山东省烟台市海阳市
818,818,山东省潍坊市奎文区
819,819,山东省济宁市曲阜市
820,820,山东省泰安市岱岳区
821,821,银滩医院
822,822,山东省威海市乳山市
823,823,山东省临沂市兰山区
824,824,山东省聊城市东昌府区
825,825,山东省菏泽市牡丹区
826,826,江苏省南京市
827,827,安徽省芜湖市
828,828,江苏省盐城市盐都区
829,829,江苏省无锡市宜兴市
830,830,人民医院门诊门诊门诊
831,831,江苏省南通市海门市
832,832,河南省商丘市柘城县
833,833,河南省商丘市夏邑县
834,834,居委会
835,835,小学
836,836,杨集镇卫生院
837,837,会亭镇卫生院门诊卫生院
838,838,会亭镇卫生院门诊
839,839,张庄村
840,840,庄村
841,841,西城
842,842,陈庄
843,843,刘口乡
844,844,刘口乡卫生院
845,845,中州路
846,846,南街诊所卫生院
847,847,河南省商丘市永城市
848,848,马桥镇中心卫生院
849,849,集团总医院
850,850,仙桃市
851,851,卫生院门诊
852,852,河南省焦作市解放区
853,853,越南
854,854,河南省新乡市
855,855,湖南省岳阳市岳阳楼区
856,856,浙江省杭州市萧山区
857,857,花乡街道
858,858,山西省太原市迎泽区
859,859,山西省忻州市五台县
860,860,甘肃省兰州市西固区
861,861,甘肃省兰州市安宁区
862,862,榆中
863,863,甘肃省定西市陇西县
864,864,陇西
865,865,宁夏回族自治区银川市永宁县
866,866,马关
867,867,下马关镇
868,868,韦州镇石峡村
869,869,湖南省岳阳市云溪区
870,870,邮亭镇新红村
871,871,千家镇
872,872,海南省乐东黎族自治县
873,873,临高县
874,874,海南省海口市美兰区
875,875,临高超市菜馆
876,876,黄流镇
877,877,昌江
878,878,地税局
879,879,浙江省嘉兴市桐乡市
880,880,河北省保定市阜平县
881,881,望都
882,882,河北省保定市望都县
883,883,河北省张家口市尚义县
884,884,河北省沧州市肃宁县
885,885,河北省沧州市黄骅市
886,886,河北省沧州市运河区
887,887,河北省沧州市泊头市
888,888,陕西省西安市未央区
889,889,马来西亚
890,890,河北省保定市涿州市
891,891,凯棠镇南江村
892,892,信用联社酒店
893,893,华阳
894,894,香山
895,895,福建省福州市晋安区
896,896,四川省
897,897,华阳广福
898,898,视高
899,899,社区药店
900,900,电器厂
901,901,四川省眉山市仁寿县
902,902,通滩镇
903,903,通滩镇卫生院
904,904,四川省南充市高坪区
905,905,会龙镇
906,906,牛街
907,907,湖北省武汉市新洲区
908,908,高新街道
909,909,普安
910,910,岩村
911,911,岩村街道办
912,912,四川省泸州市古蔺县
913,913,四川省绵阳市
914,914,玉山镇中心卫生院
915,915,四川省遂宁市射洪县
916,916,凤凰村
917,917,和谐社区
918,918,沱牌镇桃花村
919,919,广兴镇卫生院
920,920,黑龙江省齐齐哈尔市依安县
921,921,黑龙江省齐齐哈尔市龙沙区
922,922,黑龙江省齐齐哈尔市龙江县
923,923,机场
924,924,黑龙江省绥化市庆安县
925,925,中医医院
926,926,常堡乡
927,927,中山路
928,928,超市药店
929,929,工作站
930,930,锅炉厂
931,931,胜利村
932,932,黑龙江省佳木斯市向阳区
933,933,兴隆岗镇
934,934,黑龙江省佳木斯市前进区
935,935,黑龙江省鹤岗市工农区
936,936,沾河林业局
937,937,沾河林业局诊所
938,938,中和村
939,939,越南越南
940,940,吉林省长春市宽城区
941,941,辽宁省锦州市义县
942,942,辽宁省阜新市彰武县
943,943,西环路
944,944,八面城镇超市超市
945,945,八面城镇诊所
946,946,福田
947,947,博爱医院
948,948,旅行团新加坡马来西亚新加坡
949,949,广东省江门市蓬江区
950,950,广东省佛山市顺德区
951,951,广东省揭阳市普宁市
952,952,工厂
953,953,湖南省常德市
954,954,临澧
955,955,四新岗镇
956,956,新安
957,957,新安镇
958,958,湖南省益阳市沅江市
959,959,湖南省永州市新田县
960,960,章华镇
961,961,湖南省岳阳市华容县
962,962,五星村卫生室
963,963,湖南省岳阳市君山区
964,964,湖南省岳阳市岳阳县
965,965,南湖
966,966,南湖燎原村
967,967,湖南省岳阳市湘阴县
968,968,红河镇
969,969,宝昌路超市
970,970,南苑
971,971,北角超市
972,972,宝坻医院
973,973,万象
974,974,江西省赣州市大余县
975,975,河南省驻马店市西平县
976,976,河南省郑州市金水区
977,977,西双版纳
978,978,河南省开封市尉氏县
979,979,河南省鹤壁市鹤山区
980,980,胜利街
981,981,圣人涧镇
982,982,山西省运城市平陆县
983,983,南站大酒店大酒店大酒店
984,984,大酒店大酒店大酒店超市
985,985,平城市委
986,986,山西省太原市清徐县
987,987,东街
988,988,平遥学院
989,989,宁固镇
990,990,香乐乡卫生院
991,991,山西省长治市武乡县
992,992,山大
993,993,宁固镇卫生院
994,994,安徽省
995,995,南窑
996,996,延平
997,997,内蒙古自治区包头市土默特右旗
998,998,陕西省咸阳市兴平市
999,999,甘肃省天水市
1000,1000,甘肃省天水市麦积区
1001,1001,庄浪
1002,1002,甘肃省平凉市庄浪县
1003,1003,卧龙卫生院
1004,1004,甘肃省庆阳市庆城县
1005,1005,铺镇
1006,1006,塬村
1007,1007,街道超市
1008,1008,三峡
1009,1009,联系村
1010,1010,静园
1011,1011,望江派出所
1012,1012,沙龙路酒楼
1013,1013,牌楼街道
1014,1014,龙苑
1015,1015,甘宁镇
1016,1016,牌楼街道牌楼街道
1017,1017,河口
1018,1018,酒楼
1019,1019,分水镇中心卫生院
1020,1020,石柱县
1021,1021,乌杨镇
1022,1022,河口庙坝
1023,1023,河口乡
1024,1024,湖北省恩施土家族苗族自治州利川市
1025,1025,万州北山北滨
1026,1026,萧山机场
1027,1027,浙江省台州市仙居县
1028,1028,河北省秦皇岛市海港区
1029,1029,河北省秦皇岛市北戴河区
1030,1030,唐山北站
1031,1031,丰润
1032,1032,河北省承德市
1033,1033,巴蜀
1034,1034,河北省承德市双桥区
1035,1035,河北省邢台市内丘县
1036,1036,贵州省六盘水市钟山区
1037,1037,湖北省襄阳市
